TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %,Median_CSV
40.0,10.0,10.0,-101.5,-165.5,-267.0,617.5,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017649_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS10.csv
40.0,10.0,20.0,-123.5,-179.0,-302.5,653.0,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017769_2\..\salvataggi\csv_mediani\Mediano_TP40_DTS20.csv
40.0,10.0,30.0,-145.5,-192.5,-338.0,688.5,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017649_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS30.csv
40.0,10.0,40.0,-167.5,-206.0,-373.5,724.0,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017649_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS40.csv
60.0,15.0,10.0,137.25,157.25,294.5,429.25,80.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017769_2\..\salvataggi\csv_mediani\Mediano_TP60_DTS10.csv
60.0,15.0,20.0,150.5,174.5,325.0,416.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017664_1\..\salvataggi\csv_mediani\Mediano_TP60_DTS20.csv
60.0,15.0,30.0,132.0,156.0,288.0,453.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017664_1\..\salvataggi\csv_mediani\Mediano_TP60_DTS30.csv
60.0,15.0,40.0,113.5,137.5,251.0,490.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017769_2\..\salvataggi\csv_mediani\Mediano_TP60_DTS40.csv
80.0,20.0,10.0,126.5,138.5,265.0,527.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017699_3\..\salvataggi\csv_mediani\Mediano_TP80_DTS10.csv
80.0,20.0,20.0,108.0,120.0,228.0,564.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017699_3\..\salvataggi\csv_mediani\Mediano_TP80_DTS20.csv
80.0,20.0,30.0,89.5,101.5,191.0,601.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017699_3\..\salvataggi\csv_mediani\Mediano_TP80_DTS30.csv
80.0,20.0,40.0,71.0,83.0,154.0,638.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017699_3\..\salvataggi\csv_mediani\Mediano_TP80_DTS40.csv
100.0,25.0,10.0,290.5,153.0,443.5,647.75,80.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017664_1\..\salvataggi\csv_mediani\Mediano_TP100_DTS10.csv
100.0,25.0,20.0,268.5,126.0,394.5,696.75,80.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017664_1\..\salvataggi\csv_mediani\Mediano_TP100_DTS20.csv
100.0,25.0,30.0,246.5,99.0,345.5,745.75,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787085017664_1\..\salvataggi\csv_mediani\Mediano_TP100_DTS30.csv
