TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %,Median_CSV
40.0,10.0,10.0,23.3,-12.1,11.2,244.4,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747582_3\..\salvataggi\csv_mediani\Mediano_TP40_DTS10.csv
40.0,10.0,20.0,-1.6,-11.3,-12.9,271.5,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747509_1\..\salvataggi\csv_mediani\Mediano_TP40_DTS20.csv
40.0,10.0,30.0,-4.4,-25.9,-30.3,296.0,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747509_1\..\salvataggi\csv_mediani\Mediano_TP40_DTS30.csv
60.0,15.0,10.0,60.7,-69.6,-8.9,376.1,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747509_1\..\salvataggi\csv_mediani\Mediano_TP60_DTS10.csv
60.0,15.0,20.0,68.0,-87.2,-19.2,391.5,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747621_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS20.csv
60.0,15.0,30.0,55.2,-110.7,-55.5,427.8,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747621_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS30.csv
80.0,20.0,10.0,68.1,54.9,123.0,493.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747789_3\..\salvataggi\csv_mediani\Mediano_TP80_DTS10.csv
80.0,20.0,20.0,50.5,32.0,82.5,539.5,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747789_3\..\salvataggi\csv_mediani\Mediano_TP80_DTS20.csv
80.0,20.0,30.0,32.8,8.8,41.6,580.4,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747454_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS30.csv
100.0,25.0,10.0,34.9,59.3,94.2,647.5,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747621_4\..\salvataggi\csv_mediani\Mediano_TP100_DTS10.csv
100.0,25.0,20.0,11.1,33.4,44.5,704.8,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747621_4\..\salvataggi\csv_mediani\Mediano_TP100_DTS20.csv
100.0,25.0,30.0,-12.8,7.3,-5.5,754.8,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747621_4\..\salvataggi\csv_mediani\Mediano_TP100_DTS30.csv
120.0,30.0,10.0,-120.5,59.6,-60.9,911.1,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747509_1\..\salvataggi\csv_mediani\Mediano_TP120_DTS10.csv
120.0,30.0,20.0,-103.5,33.5,-70.0,939.2,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747706_1\..\salvataggi\csv_mediani\Mediano_TP120_DTS20.csv
120.0,30.0,30.0,-130.5,6.5,-124.0,993.2,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787328747706_1\..\salvataggi\csv_mediani\Mediano_TP120_DTS30.csv
40.0,10.0,10.0,-3.5,15.8,12.3,253.3,60.0,
40.0,10.0,20.0,-27.4,28.9,1.5,271.2,50.0,
40.0,10.0,30.0,-51.7,25.8,-25.9,298.6,50.0,
